Date Start,Date End,Pollster,Sample Size,Link 1,Link 2,Notes,Question,Answers,ALL % Oppose (Strong),ALL % Oppose (Somewhat),ALL % Oppose,ALL % Support,ALL % Support (Somewhat),ALL % Support (Strong),ALL % Undecided/Don't Know,ALL % Oppose Total,ALL % Support Total,ALL % Oppose Among Decided,DEM % Oppose (Strong),DEM % Oppose (Somewhat),DEM % Oppose,DEM % Support,DEM % Support (Somewhat),DEM % Support (Strong),DEM % Undecided/Don't Know,DEM % Oppose Total,DEM % Support Total,DEM % Oppose Among Decided,IND Oppose (Strong),IND Oppose (Somewhat),IND Oppose,IND Support,IND Support (Somewhat),IND Support (Strong),IND Undecided/Don't Know,IND % Oppose Total,IND % Support Total,IND % Oppose Among Decided,REP % Oppose (Strong),REP % Oppose (Somewhat),REP % Oppose,REP % Support,REP % Support (Somewhat),REP % Support (Strong),REP % Undecided/Don't Know,REP % Oppose Total,REP % Support Total,REP % Oppose Among Decided,MEN % Oppose (Strong),MEN % Oppose (Somewhat),MEN % Oppose,MEN % Support,MEN % Support (Somewhat),MEN % Support (Strong),MEN % Undecided/Don't Know,MEN % Oppose Total,MEN % Support Total,MEN % Oppose Among Decided,WOMEN Oppose (Strong),WOMEN Oppose (Somewhat),WOMEN Oppose,WOMEN Support,WOMEN Support (Somewhat),WOMEN Support (Strong),WOMEN Undecided/Don't Know,WOMEN % Oppose Total,WOMEN % Support Total,WOMEN % Oppose Among Decided,Had question about sex segregation in sport in general
"Oct 9, 2015","Oct 11, 2015","GfK KnowledgePanel/Flores, A. R. et al (2020)",1020,https://link.springer.com/article/10.1007/s11199-019-01114-z,,"The wording of the question (""sex change"") sets poll apart.",Allowing students who have had a sex change to play college sports as a member of their current gender.,1 (strongly agree) to 5 (strongly disagree),0.16,0.18,,,0.2,0.11,0.35,=SUM(J2:L2),=SUM(M2:O2),=Q2/SUM(Q2:R2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388,0.232,,,0.38,=SUM(AX2:AZ2),=SUM(BA2:BC2),=BE2/SUM(BE2:BF2),,,0.285,0.356,,,0.359,=SUM(BH2:BJ2),=SUM(BK2:BM2),=BO2/SUM(BO2:BP2),
"Jan 17, 2018","Jan 21, 2018",PPRI,506,https://www.prri.org/wp-content/uploads/2018/01/January-2018-Sports-Poll-Topline-FINAL.pdf,https://www.prri.org/wp-content/uploads/2019/08/PRRI-January-2018-Sports-Survey.zip,"Pg 6 of Topline. Specific to high school athletics. For the crosstabs, the dataset was downloaded and opened with JSAP. Empty answers were filtered, and q12 was used as the variable, with party and sex used as splits","Do you think a transgender student who was listed as male on their birth certificate, but now identifies as female, should be able to participate in high school athletic events with other female students?","Yes, should be allowed to participate. No, should not be allowed to participate. Don’t know/Refused        ",,,0.43,0.5,,,0.07,=SUM(J3:L3),=SUM(M3:O3),=Q3/SUM(Q3:R3),,,0.22517,0.71523,,,0.0596,=SUM(T3:V3),=SUM(W3:Y3),=AA3/SUM(AA3:AB3),,,0.45205,0.46119,,,0.08676,=SUM(AD3:AF3),=SUM(AG3:AI3),=AK3/SUM(AK3:AL3),,,0.63793,0.30172,,,0.06034,=SUM(AN3:AP3),=SUM(AQ3:AS3),=AU3/SUM(AU3:AV3),,,0.5336,0.39921,,,0.06719,=SUM(AX3:AZ3),=SUM(BA3:BC3),=BE3/SUM(BE3:BF3),,,0.32806,0.59684,,,0.0751,=SUM(BH3:BJ3),=SUM(BK3:BM3),=BO3/SUM(BO3:BP3),
"Sep, 2018","Mar, 2019","NSASS/Knoester, et al (2023)",3993,https://journals.humankinetics.com/view/journals/ssj/aop/article-10.1123-ssj.2022-0121/article-10.1123-ssj.2022-0121.xml,,Poll start/end taken from https://nsass.org/,Transgender athletes should be allowed to compete with their choice of male or female athletes.,1 (strongly agree) to 4 (strongly disagree),,,0.32,0.56,,,0.12,=SUM(J4:L4),=SUM(M4:O4),=Q4/SUM(Q4:R4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
"May 28, 2019","May 29, 2019",Rasmussen Reports,1000,https://web.archive.org/web/20190608065245/https://www.rasmussenreports.com/public_content/lifestyle/social_issues/most_oppose_transgender_athletes_on_opposite_sex_teams,,,"Do you favor or oppose allowing transgender students to participate on the sports teams of the gender they identify with, letting biological males, for example, play girls' sports?",Not available (Presumably Support/Oppose/Undecided),,,0.54,0.28,,,0.18,=SUM(J5:L5),=SUM(M5:O5),=Q5/SUM(Q5:R5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"May 29, 2019","May 30, 2019",Harvard CAPS/Harris,1295,https://harvardharrispoll.com/wp-content/uploads/2019/06/HHP_May19_vF.pdf,,Another question asking about fairness was not used.,Should competitive athletic teams in high schools and college allow transgender to play on the team of their stated sex or require them to play on the teams of their birth sex?,Allow to play on team of stated sex/Require to play on team of birth sex,,,0.51,0.49,,,,=SUM(J6:L6),=SUM(M6:O6),=Q6/SUM(Q6:R6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
"Oct 31, 2019","Nov 2, 2019",Rasmussen Reports,1000,https://www.rasmussenreports.com/public_content/lifestyle/questions/october_2019/questions_transgender_athletes_october_31_and_november_2_2019,,,"Do you favor or oppose allowing transgender students to participate on the sports teams of the gender they identify with, letting biological males, for example, play girls' sports?",Not available (Presumably Support/Oppose/Undecided),,,0.51,0.29,,,0.2,=SUM(J7:L7),=SUM(M7:O7),=Q7/SUM(Q7:R7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 20, 2020","Oct 23, 2020",Women's Liberation Front/Spry,3500,https://static1.squarespace.com/static/5f232ea74d8342386a7ebc52/t/5f989b7226098c04ac975eba/1603836792708/Nationwide_WOLF_10.16.20-Survey_Results-Smart_Charts.pdf,https://static1.squarespace.com/static/5f232ea74d8342386a7ebc52/t/5f989ca753c6e57e31438ccc/1603837099550/Nationwide_WOLF_10.16.20-Basic_Crosstab-Basic_Crosstab_compressed.pdf,This question was significantly different than other polls. Pgs 112 & 126 of crosstabs,Should boys and men who say they identify as transgender be allowed to compete in girls’ and women’s athletics?,Strongly agree/Somwhat agree/Somewhat disagree/Strongly disagree/Unsure or No Opinion,0.541,0.1286,,,0.1143,0.0838,0.1324,=SUM(J8:L8),=SUM(M8:O8),=Q8/SUM(Q8:R8),0.297,0.175,,,0.202,0.124,0.202,=SUM(T8:V8),=SUM(W8:Y8),=AA8/SUM(AA8:AB8),0.363,0.11,,,0.189,0.155,0.184,=SUM(AD8:AF8),=SUM(AG8:AI8),=AK8/SUM(AK8:AL8),0.624,0.1,,,0.084,0.09,0.103,=SUM(AN8:AP8),=SUM(AQ8:AS8),=AU8/SUM(AU8:AV8),0.631,0.127,,,0.077,0.068,0.098,=SUM(AX8:AZ8),=SUM(BA8:BC8),=BE8/SUM(BE8:BF8),0.462,0.13,,,0.147,0.098,0.163,=SUM(BH8:BJ8),=SUM(BK8:BM8),=BO8/SUM(BO8:BP8),
"Feb 24, 2021","Feb 25, 2021",Rasmussen Reports,1000,https://www.rasmussenreports.com/public_content/lifestyle/sports/february_2021/54_oppose_transgender_sports_trend,,,"Do you favor or oppose allowing transgender students to participate on the sports teams of the gender they identify with, letting biological males, for example, play girls' sports?",Not available (Presumably Support/Oppose/Undecided),,,0.54,0.32,,,0.14,=SUM(J9:L9),=SUM(M9:O9),=Q9/SUM(Q9:R9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 6, 2021","Mar 8, 2021",Morning Consult/Politico,1990,https://www.politico.com/f/?id=00000178-1a7a-d750-a77a-3efba0ac0000&nname=playbook-pm&nid=0000015a-dd3e-d536-a37b-dd7fd8af0000&nrid=0000014e-f102-dd93-ad7f-f9076e3c0000&nlid=964328,,Page 249,"As you may know, Mississippi is moving towards banning transgender athletes from participating on women’s sports teams at the state’s high schools and universities. Based on what you know, do you support or oppose banning transgender athletes from competing on women’s sports teams?",Strongly support/Somwhat support/Somewhat oppose/Strongly oppose/Don't know/No opinion,0.36,0.17,,,0.13,0.19,0.16,=SUM(J10:L10),=SUM(M10:O10),=Q10/SUM(Q10:R10),0.21,0.19,,,0.15,0.27,0.18,=SUM(T10:V10),=SUM(W10:Y10),=AA10/SUM(AA10:AB10),0.32,0.17,,,0.15,0.18,0.18,=SUM(AD10:AF10),=SUM(AG10:AI10),=AK10/SUM(AK10:AL10),0.61,0.13,,,0.07,0.08,0.11,=SUM(AN10:AP10),=SUM(AQ10:AS10),=AU10/SUM(AU10:AV10),0.41,0.18,,,0.13,0.16,0.13,=SUM(AX10:AZ10),=SUM(BA10:BC10),=BE10/SUM(BE10:BF10),0.31,0.15,,,0.12,0.22,0.19,=SUM(BH10:BJ10),=SUM(BK10:BM10),=BO10/SUM(BO10:BP10),
"Apr 7, 2021","Apr 13, 2021",PBS NewsHour/NPR/Marist,1266,https://www.pbs.org/newshour/politics/new-poll-shows-americans-overwhelmingly-oppose-anti-transgender-laws,https://maristpoll.marist.edu/wp-content/uploads/2021/07/NPR_PBS-NewsHour_Marist-Poll-National-Tables_Transgender-Legislation_April-2021.xlsx,"There was a question regarding legislation prohibiting athletes from joining teams that match their ""gender identity"". This was opposed by 67% - this was not used as the other question was more relevant. The data on high school and college was averaged. Data on ""National Adults"" was used (as opposed to voters).",Do you think transgender students should or should not be allowed to play on sports teams that match their gender identity in high school? Do you think transgender students should or should not be allowed to play on sports teams that match their gender identity in college?,Should/Should not/Unsure,,,0.465,0.48,,,0.05,=SUM(J11:L11),=SUM(M11:O11),=Q11/SUM(Q11:R11),,,0.19,0.755,,,0.055,=SUM(T11:V11),=SUM(W11:Y11),=AA11/SUM(AA11:AB11),,,0.49,0.45,,,0.06,=SUM(AD11:AF11),=SUM(AG11:AI11),=AK11/SUM(AK11:AL11),,,0.795,0.175,,,0.03,=SUM(AN11:AP11),=SUM(AQ11:AS11),=AU11/SUM(AU11:AV11),,,0.55,0.41,,,0.04,=SUM(AX11:AZ11),=SUM(BA11:BC11),=BE11/SUM(BE11:BF11),,,0.385,0.55,,,0.05,=SUM(BH11:BJ11),=SUM(BK11:BM11),=BO11/SUM(BO11:BP11),
